[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:35Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:36Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:37Z DEBUG swayr::daemon] Handled window event type Focus
